Id,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity,Dimension Ratio,Image Width,Imgage Height,Is Cat,Aesth Score
0007de18844b0dbbb5e1f607da0606e0,0,1,1,1,0,0,1,0,0,0,0,0,63,1.7777777777777777,720,405,0,4.627027407288551
0009c66b9439883ba2750fb825e1d7db,0,1,1,0,0,0,0,0,0,0,0,0,42,0.75,774,1032,1,4.891838885843754
0013fd999caf9a3efe1352ca1b0d937e,0,1,1,1,0,0,0,0,1,1,0,0,28,1.3333333333333333,960,720,0,5.575276173651218
0018df346ac9c1d8413cfcc888ca8246,0,1,1,1,0,0,0,0,0,0,0,0,15,1.7777777777777777,720,405,0,4.419266827404499
001dc955e10590d3ca4673f034feeef2,0,0,0,1,0,0,1,0,0,0,0,0,72,1.7777777777777777,960,540,0,4.560845524072647
001dd4f6fafb890610b1635f967ea081,0,0,1,0,0,0,0,0,0,0,0,1,74,1.7777777777777777,960,540,0,5.429878368973732
0023b8a3abc93c712edd6120867deb53,0,1,1,1,0,0,0,0,1,1,0,0,22,1.3333333333333333,960,720,0,5.698303874582052
0031d6a9ef7340f898c3e05f92c7bb04,0,1,1,0,0,0,1,1,0,0,1,0,35,1.0,1280,1280,0,5.450998555868864
0042bc5bada6d1cf8951f8f9f0d399fa,0,1,1,1,0,0,0,0,0,0,0,0,53,1.3333333333333333,960,720,1,5.507339611649513
0049cb81313c94fa007286e9039af910,0,1,1,1,0,0,0,0,0,0,0,0,21,0.6622361219702892,847,1279,1,5.183876529335976
005017716086b8d5e118dd9fe26459b1,0,1,1,1,0,0,0,0,0,0,0,0,28,1.0,1280,1280,1,5.063806235790253
00524dbf2637a80cbc80f70d3ff59616,0,1,1,1,0,0,0,0,0,0,0,0,2,1.7777777777777777,720,405,0,5.790315072983503
00630b1262efe301cb15a3b2022ba744,0,1,1,1,0,0,0,0,0,0,0,0,18,1.7777777777777777,960,540,1,4.618843130767345
006483b96ca9c09b7afed3e3d3af539d,0,1,1,1,0,0,0,0,1,1,0,0,41,1.3333333333333333,960,720,0,5.369537431746721
00655425c10d4c082dd7eeb97fa4fb17,0,1,0,0,0,1,0,0,0,0,0,0,13,1.0981067125645438,638,581,1,5.282751500606537
0067aaaa500b530c76b9c91af34b4cb8,0,1,1,1,0,0,0,0,0,0,0,0,98,1.3333333333333333,960,720,0,4.486769925802946
006cda7fec46a527f9f627f4722a2304,0,0,0,1,0,0,0,0,0,0,0,1,34,0.75,960,1280,1,5.259178191423416
006fe962f5f7e2c5f527b2e27e28ed6d,0,1,1,0,0,0,0,1,1,1,0,0,69,0.9984567901234568,647,648,0,6.201227806508541
0075ec6503412f21cf65ac5f43d80440,0,0,1,1,0,0,0,0,0,0,0,0,53,1.818181818181818,960,528,0,5.377411425113678
00768659c1c90409f81dcdecbd270513,0,1,1,0,0,0,0,0,0,0,0,0,100,1.3333333333333333,960,720,0,4.766724213957787
007c6ea0ccfca08d4736e5f459ed274a,0,1,1,1,0,0,0,1,0,0,0,0,29,1.0576208178438662,569,538,0,5.131084285676479
00838b02764e8d37edde39ed18693427,0,0,0,1,0,0,1,0,0,0,0,0,27,0.5625,720,1280,1,5.551254078745842
0084a12f432ef6e47e8b9ff04d8a32b4,0,1,1,1,0,0,0,0,0,0,0,0,28,0.75,720,960,1,5.492660026997328
0085bfb9a7ebfd776cb804d8b456bb05,0,1,1,1,0,0,0,0,0,0,0,0,50,1.3333333333333333,960,720,0,4.613970004022121
009367718f506d87cd898ed0310a2392,0,1,1,1,0,0,0,0,0,0,0,0,36,1.0,960,960,0,4.854395285248756
0095f81bab3b68a4f70e99f0fcec7b06,0,0,1,1,0,0,0,0,1,0,0,1,15,1.3333333333333333,960,720,0,5.689964555203915
00a1ae8867e0bb89f061679e1cf29e80,0,1,1,0,0,0,1,0,0,0,0,0,52,2.0556745182012848,960,467,1,5.290365897119045
00a1e0c0f89ff89a8f32d42e9025f6b2,0,1,1,1,0,0,0,0,0,0,0,0,40,0.66640625,853,1280,1,4.871265314519405
00a6d367daed96f77be6c91db493dfed,0,1,1,0,0,0,0,0,0,0,0,0,29,1.3333333333333333,960,720,1,4.609299197793007
00b151a572c9aabedf8cfce0fa18be25,0,0,1,1,0,0,0,0,0,0,0,1,21,1.7777777777777777,960,540,0,5.388554774224758
00c7b596627da7425b624d6b16c88a25,0,1,1,1,0,0,0,0,0,0,0,0,34,1.0,960,960,0,5.125489369034767
00d1cb2ec8b263ae076ff95cae513a88,0,1,1,1,0,0,0,0,0,0,0,0,31,1.3333333333333333,960,720,0,5.897623147815466
00d560ebe5e1b2450eb530a2c96d08a3,0,1,1,1,0,0,1,0,0,0,0,0,67,0.7560386473429952,939,1242,1,5.080973237752914
00ddc7582953fb2c862e751e2b5d45f0,0,1,1,1,0,0,1,0,0,0,0,0,54,1.1594202898550725,960,828,1,5.146017834544182
00df0a668441b10869f4372fd15c14f5,0,0,0,1,0,0,0,0,0,0,0,0,69,1.7586206896551724,816,464,0,5.394330736249685
00dff6959ce41208a9e0528744162332,0,1,1,1,0,0,0,0,0,1,0,0,30,1.7777777777777777,960,540,1,5.1740621998906136
00e75416298ca240f7746181ee196600,0,1,1,1,0,0,1,0,0,0,0,0,29,1.3333333333333333,960,720,0,5.244160510599613
00e75d192cd4b26798933a817b04ccd9,0,1,1,0,0,0,0,0,0,0,0,0,68,1.3333333333333333,960,720,1,4.591765362769365
00e83013f21b99cd7edb1d4e545f6579,0,0,1,1,0,0,0,0,0,0,0,0,24,1.4076246334310851,960,682,1,4.954550564289093
00eb7cc3d158a6addbcbde1f267d7d15,0,1,1,1,0,0,0,0,0,0,0,0,47,0.6640625,850,1280,1,4.123996362090111
00f6f38380bec413074150c18b2828d2,0,0,1,1,0,0,0,0,0,0,0,1,16,1.3333333333333333,960,720,1,5.109226077795029
00fb5be5bf4e956ea4abb99f41c0b9ec,0,1,1,1,0,0,0,0,0,0,0,0,42,1.3333333333333333,960,720,0,5.296064589172602
